Company,Exchange,Ticker,Industry,Year Founded,Locations,Number of Employees,S&P Credit Rating (FC LT),S&P Credit Rating (LC LT),Type,NOSH,Price ($USD),Total Enterprise Value ($USDmm),Total Revenue ($USDmm),Gross Profit ($USDmm),EBITDA ($USDmm),EBIT ($USDmm),Net Income ($USDmm),Cash And Equivalents ($USDmm),"Net Property, Plant & Equipment ($USDmm)",Total Assets ($USDmm),Total Debt ($USDmm),Total Equity ($USDmm),Basic EPS ($USD),EPS - Capital IQ ($USD),EPS - # of Estimates Y+1,EBITDA Estimate ($USDmm),EBITDA - # of Estimates Y+1,EBIT Estimate ($USDmm),EBIT - # of Estimates Y+1,Market Cap ($USDmm),TEV/Revenue,TEV/EBITDA,TEV/EBIT,P/E
CSL Limited ,ASX,CSL,Health Care,1916,APAC,30000,A-,A-,Public Company,481.7,205.78,98338.8,10561.9,5732.3,3324.9,2967.4,2254.7,10436.4,8308.6,28346.0,9657.8,14577.5,4.81,5.55,16,4504.1,15,3714.46,14,99124.226,9.310711140987891,29.576468465216998,33.13971827188785,42.78170478170478
"Marsh & McLennan Companies, Inc. ",NYSE,MMC,Financials,1871,US/CA,83000,A-,A-,Public Company,499.0,170.37,98196.6,19820.0,9076.0,5711.0,5006.0,3378.0,1752.0,2715.0,34388.0,13162.0,11222.0,6.7,7.12,17,5728.4,8,5052.13,7,85014.63,4.954419778002018,17.194291717737702,19.615781062724732,25.428358208955224
Vodafone Group Public Limited Company ,LSE,VOD,Communication Services,1984,EU,104000,BBB,BBB,Public Company,27818.3,1.38,98053.5,50633.2,16669.6,14489.0,5962.0,2319.5,8327.0,45327.7,171020.9,80268.8,63293.7,0.08,0.11199999999999999,15,15158.9,20,5957.31,15,38389.25399999999,1.936545586690156,6.767444268065429,16.44641060046964,17.25
Canadian National Railway Company ,TSX,CNR,Industrials,1919,US/CA,22783,A,A,Public Company,683.4,126.08,97243.4,11439.8,6704.7,6686.9,5420.6,3977.3,662.2,31742.6,38355.1,10205.5,17972.5,5.68,5.96,28,6945.3,22,5512.68,25,86163.072,8.50044581198972,14.542373895227984,17.93960078220123,22.19718309859155
TC Energy Corporation ,TSX,TRP,Energy,1951,US/CA,7017,BBB+,BBB+,Public Company,1011.9,50.93,96129.0,10578.5,7235.0,6821.9,4877.1,2539.5,531.8,55458.4,82353.9,42049.3,26389.8,2.49,3.18,19,7674.6,20,5500.7,6,51536.066999999995,9.08720518031857,14.09123557953063,19.710278649197267,20.453815261044173
3M Company ,NYSE,MMM,Industrials,1902,US/CA,95000,A+,A+,Public Company,569.8,142.76,95634.1,35355.0,15622.0,8616.0,6712.0,4150.0,4564.0,10287.0,47072.0,18317.0,15117.0,7.22,10.6,20,9681.6,11,7690.25,13,81344.64799999999,2.7049667656625656,11.099593779015786,14.248227056019072,19.77285318559557
Stryker Corporation ,NYSE,SYK,Health Care,1941,US/CA,46000,BBB+,BBB+,Public Company,378.3,216.69,94703.3,17108.0,11426.0,4548.0,3580.0,2079.0,2944.0,3252.0,34631.0,12901.0,14877.0,5.5,9.9,23,5101.2,15,4696.59,18,81973.827,5.535614916997896,20.82306508355321,26.453435754189943,39.39818181818182
Mitsubishi Corporation ,TSE,8058,Industrials,1950,APAC,77164,A,A,Public Company,1460.8,33.27,94225.9,142174.6,18509.4,10088.3,8177.1,9448.1,12810.0,35447.9,180443.8,59583.6,64703.2,6.4,3.74,11,8906.0,1,4519.23,5,48600.816000000006,0.662747776325729,9.340116768930345,11.5231439018723,5.1984375
Target Corporation ,NYSE,TGT,Consumer Discretionary,1902,US/CA,450000,A,A,Public Company,460.2,167.5,93897.6,106005.0,28285.0,8559.0,5888.0,4224.0,5911.0,30737.0,53811.0,16467.0,12827.0,8.95,11.0,23,9337.9,8,6758.73,24,77083.5,0.8857846328003397,10.97062740974413,15.947282608695653,18.715083798882684
GSK plc ,LSE,GSK,Health Care,1715,EU,90096,A,A,Public Company,4048.3,16.43,92330.5,46192.4,29480.5,13502.6,10625.2,5537.4,5787.3,14450.5,107110.2,32733.0,28898.3,1.38,1.58,19,11128.1,14,9635.57,15,66513.569,1.9988244819494114,6.837979352124775,8.68976583970184,11.905797101449275
"ServiceNow, Inc. ",NYSE,NOW,Information Technology,2004,US/CA,16881,A-,A-,Public Company,201.6,466.03,92268.2,5896.0,5118.0,675.0,218.0,184.0,1728.0,1357.0,10798.0,2214.0,3695.0,0.9209999999999999,8.25,31,2575.6,9,2078.44,27,93951.64799999999,15.649287652645862,136.6936296296296,423.248623853211,506.0043431053203
